# CLASS v3 transfer functions at z = 1000, Newtonian gauge,
# normalised to unit primordial curvature (output_format='class').
# theta convention: d(delta)/dtau = -theta, theta in 1/Mpc (c=1).
# cosmology: h=0.71, Omega_b=0.044, Omega_cdm=0.226, A_s=2.1e-09, n_s=0.965, k_pivot=0.05/Mpc
# k[1/Mpc]  delta_b  delta_cdm  theta_b[1/Mpc]  theta_cdm[1/Mpc]
1.966146582580214075e-01 -5.917749827654804617e-01 -4.515335245871685999e+01 -1.162883556680588751e-02 1.519391285789631341e-01
2.032395006422066386e-01 -6.236300812717843201e-02 -4.597133680521224619e+01 -5.609134981198136624e-03 1.546188461823553295e-01
2.101059120786731571e-01 1.030503433476369635e-01 -4.679603231610078495e+01 1.458183396117997306e-02 1.572911047779431692e-01
2.172281034296310032e-01 -1.999618576038739992e-01 -4.762737490187925715e+01 3.034289308014002928e-02 1.599907409175365114e-01
2.246222243635875027e-01 -6.433512650224165741e-01 -4.846620815574186025e+01 2.765253038912646871e-02 1.627471238381120733e-01
2.323067388640138731e-01 -7.830463762318746745e-01 -4.931396333718302571e+01 1.134392588247030119e-02 1.655549367094270863e-01
2.403028908373950057e-01 -5.194710021906078223e-01 -5.017196152047289814e+01 4.993755080853115981e-04 1.683872861894152584e-01
2.486352882931500419e-01 -2.036802217278954608e-01 -5.104119760947646967e+01 6.888497003263581615e-03 1.712323241503181659e-01
2.573326455192320728e-01 -2.152951241124374804e-01 -5.192251031143846518e+01 2.058350471640721033e-02 1.741072748773500323e-01
2.664287386463627949e-01 -4.857161546060258517e-01 -5.281743199335859629e+01 2.319126883983114659e-02 1.770450621859157858e-01
2.759636537157618696e-01 -6.101130853270007037e-01 -5.372791725933697649e+01 1.366758863320498806e-02 1.800493484499074148e-01
2.859854423232925380e-01 -4.466380698242242153e-01 -5.465625040841960924e+01 8.846125416343332895e-03 1.831026308006985515e-01
2.965523556403012462e-01 -3.141922871705186138e-01 -5.560510264462162411e+01 1.542300874735587531e-02 1.862071442743271354e-01
3.077359161141278165e-01 -4.267575355617219124e-01 -5.657808438476289581e+01 1.994498213522415478e-02 1.893976954808091751e-01
3.196252305697432350e-01 -5.285230987620508358e-01 -5.757967554038585689e+01 1.570285434248524029e-02 1.926963753447744621e-01
3.323331913366004420e-01 -4.411888835205499126e-01 -5.861507857145297606e+01 1.410333396828549260e-02 1.960994726767010254e-01
3.460056346838693564e-01 -4.127481210265261380e-01 -5.969080697296097782e+01 1.787826427523460729e-02 1.996255022114696298e-01
3.608352900096661320e-01 -4.915722056311013777e-01 -6.081605590893328639e+01 1.757067631504265551e-02 2.033240190122053148e-01
3.770837961305831265e-01 -4.645077910302290447e-01 -6.200302988102907165e+01 1.651663245633140653e-02 2.072256500359341280e-01
3.951179233651516132e-01 -4.642365516523384583e-01 -6.326800055429764313e+01 1.837888969306083684e-02 2.113781158524949133e-01
4.154721458274142076e-01 -4.887995119842192260e-01 -6.463500195244209579e+01 1.786503220034968073e-02 2.158707215343463881e-01
4.389631309222531974e-01 -4.837045788165038607e-01 -6.613973018559454431e+01 1.884169184969334415e-02 2.208131264576004005e-01
4.669138509778602009e-01 -4.979912791987127774e-01 -6.783854028087588972e+01 1.898506091716567479e-02 2.263954612348461071e-01
5.016273351665004876e-01 -5.108257931310786759e-01 -6.982517853622174187e+01 1.968081851136820742e-02 2.329233489203640373e-01
5.474687711054407879e-01 -5.234823070037223358e-01 -7.226511625075048073e+01 2.040516239846334318e-02 2.409416069170950692e-01
6.134215182299465052e-01 -5.421735894570306469e-01 -7.546325548199530431e+01 2.133755481617054250e-02 2.514510335503756244e-01
7.177958386496081644e-01 -5.699410978446095566e-01 -7.992875697323169959e+01 2.262967345793692395e-02 2.661283675712867169e-01
8.837839785810287507e-01 -6.082918869823529251e-01 -8.591220177459690888e+01 2.435013246961895139e-02 2.857970183074719506e-01
1.110835490954998450e+00 -6.523894070878890616e-01 -9.257178112537316395e+01 2.625844125840768109e-02 3.076916549378123089e-01
1.398425728140052726e+00 -6.978438981099470695e-01 -9.935257794644954288e+01 2.819609195420471476e-02 3.299874330354350960e-01
1.760513564084405180e+00 -7.445859063503950104e-01 -1.061988176460317845e+02 3.014886358207702344e-02 3.525014659895551739e-01
2.216355263571806233e+00 -7.919740972700897164e-01 -1.130983389080590484e+02 3.211425914249897012e-02 3.751916246356231111e-01
2.790225962874303356e+00 -8.399951044472134809e-01 -1.200438477248990239e+02 3.409103501112407952e-02 3.980343204376443067e-01
3.512686369310308976e+00 -8.884546351940320053e-01 -1.270253734425045167e+02 3.607667404238093511e-02 4.209938909392569317e-01
4.422210133987739766e+00 -9.373303630103925199e-01 -1.340460094728602201e+02 3.807320303632642788e-02 4.440894458226286035e-01
5.567232713970854618e+00 -9.864494448529209647e-01 -1.410903128817684831e+02 4.007555389392433720e-02 4.672594046835176207e-01
7.008730736989718046e+00 -1.035792460027912920e+00 -1.481581701252074481e+02 4.208424806530110251e-02 4.905077378869018845e-01
8.823469229219218946e+00 -1.085329662341466106e+00 -1.552472080332580333e+02 4.409880762275823068e-02 5.138276605584306544e-01
1.110808963284796924e+01 -1.134978369662371867e+00 -1.623501173370360107e+02 4.611685611874849489e-02 5.371909578696439924e-01
1.398425631527964974e+01 -1.184849690067615757e+00 -1.694788981736267317e+02 4.814302410919751862e-02 5.606510238903329446e-01
1.760513564034861744e+01 -1.234704856715432619e+00 -1.766072909788308607e+02 5.016783404512577260e-02 5.840984772581829798e-01
2.216355263571805523e+01 -1.284670473135580249e+00 -1.837498254310036998e+02 5.219673577305387197e-02 6.075973292564511574e-01
2.790225962874305310e+01 -1.334651542487288900e+00 -1.908959971429238180e+02 5.422581398003331610e-02 6.311041646398543037e-01
3.512686369310311818e+01 -1.384668018533023570e+00 -1.980485096890784860e+02 5.625583834285063922e-02 6.546312040601337534e-01
4.422210133987742608e+01 -1.434730178792174682e+00 -2.052090746602810896e+02 5.828708946150216313e-02 6.781871931095218020e-01
5.567232713970858526e+01 -1.484691867901639650e+00 -2.123627620500104172e+02 6.031337050545559908e-02 7.017095109449988932e-01
7.008730736989723198e+01 -1.534708184622992189e+00 -2.195285065162481430e+02 6.234044421179182893e-02 7.252797490640787714e-01
