# Power spectra at z = 1000 [Mpc^3] from CLASS transfer functions;
# last column is the direct CLASS P_m(k) for cross-checking.
# k[1/Mpc]  P_b  P_cdm  P_m  P_m_direct
4.843901005757865252e-05 5.366856869847294874e+05 5.366856871095604729e+05 5.366856870892178267e+05 5.366851953916330822e+05
4.956729954493719600e-05 5.004631431820411235e+05 5.004631433138618595e+05 5.004631432923800312e+05 5.004626847871688660e+05
5.072187027061525385e-05 4.666852475011756178e+05 4.666852476378426072e+05 4.666852476155709592e+05 4.666848200709823286e+05
5.190333440329410539e-05 4.351915789737634477e+05 4.351915791409469675e+05 4.351915791137025808e+05 4.351911805024275091e+05
5.311231837089543161e-05 4.058176507824579021e+05 4.058176509530954063e+05 4.058176509252878022e+05 4.058172791754064383e+05
5.434946319272164982e-05 3.784271965059686918e+05 3.784271966804101830e+05 3.784271966519829002e+05 3.784268499789722846e+05
5.561542481933284398e-05 3.528855786721804179e+05 3.528855788506373065e+05 3.528855788215555949e+05 3.528852555356779485e+05
5.691087448034042403e-05 3.290679476378221298e+05 3.290679478204856277e+05 3.290679477907181717e+05 3.290676463144628797e+05
5.823649904030195752e-05 3.068625056090913131e+05 3.068625058254519245e+05 3.068625057901933906e+05 3.068622247182962019e+05
5.959300136290585157e-05 2.861516320684123202e+05 2.861516322890010779e+05 2.861516322530532489e+05 2.861513701567935059e+05
6.098110068363899540e-05 2.668386404190447647e+05 2.668386406439673738e+05 2.668386406073133112e+05 2.668383962039081380e+05
6.240153299113488446e-05 2.488291803406542458e+05 2.488291805700218247e+05 2.488291805326433387e+05 2.488289526282977604e+05
6.385505141740461306e-05 2.320352695371489099e+05 2.320352697710764478e+05 2.320352697329549701e+05 2.320350572134496470e+05
6.534242663715737753e-05 2.163741851994951139e+05 2.163741854371188092e+05 2.163741853983948822e+05 2.163739872012395354e+05
6.686444727642243109e-05 2.017706223459138710e+05 2.017706225880540733e+05 2.017706225485941977e+05 2.017704377235781576e+05
6.842192033068903280e-05 1.881527443372049893e+05 1.881527445840082364e+05 1.881527445437884599e+05 1.881525721888491244e+05
7.001567159278614377e-05 1.754540186513993540e+05 1.754540189030074980e+05 1.754540188620048575e+05 1.754538581354864000e+05
7.164654609072871954e-05 1.636124038283688715e+05 1.636124040849287121e+05 1.636124040431190224e+05 1.636122541606893647e+05
7.331540853576275359e-05 1.525700467560306133e+05 1.525700470176828385e+05 1.525700469750431948e+05 1.525699072048706585e+05
7.502314378084660692e-05 1.422729995772828115e+05 1.422729998441510543e+05 1.422729998006614915e+05 1.422728694597490830e+05
7.677065728981176970e-05 1.326709044082406326e+05 1.326709046819454234e+05 1.326709046373416786e+05 1.326707830860139511e+05
7.855887561745177104e-05 1.237168173771567090e+05 1.237168176555022801e+05 1.237168176101423887e+05 1.237167042566894524e+05
8.038874690079379380e-05 1.153670052096857544e+05 1.153670054918639798e+05 1.153670054458794330e+05 1.153668997379698558e+05
8.226124136181347417e-05 1.075810973142657895e+05 1.075810976039126690e+05 1.075810975567109708e+05 1.075809989819636394e+05
8.417735182185945070e-05 1.003207511632968090e+05 1.003207514605459000e+05 1.003207514121052809e+05 1.003206594905894453e+05
8.613809422806033940e-05 9.355048002535164414e+04 9.355048033032967942e+04 9.355048028062957746e+04 9.355039456472054007e+04
8.814450819199341216e-05 8.723655642186032492e+04 8.723655673051458143e+04 8.723655668021537713e+04 8.723647673835200840e+04
9.019765754090038089e-05 8.134911610597011168e+04 8.134911642168911931e+04 8.134911637023864023e+04 8.134904181824045372e+04
9.229863088174266976e-05 7.585906693618884310e+04 7.585906725908468070e+04 7.585906720646463509e+04 7.585899768161044631e+04
9.444854217839527969e-05 7.073958862004490220e+04 7.073958895025742822e+04 7.073958889644502779e+04 7.073952406067085394e+04
9.664853134228511224e-05 6.596566959562724514e+04 6.596566993331891717e+04 6.596566987828770652e+04 6.596560941611111048e+04
9.889976483678716845e-05 6.151398477314623597e+04 6.151398511847111513e+04 6.151398506219593401e+04 6.151392867946879414e+04
1.012034362956988555e-04 5.736268104756877437e+04 5.736268139608747879e+04 5.736268133929185569e+04 5.736262876219582540e+04
1.035607671561203586e-04 5.349159139819779375e+04 5.349159175469687034e+04 5.349159169660071348e+04 5.349154266480646038e+04
1.059730073060768420e-04 4.988177411691928864e+04 4.988177448146493407e+04 4.988177442205750413e+04 4.988172869652068039e+04
1.084414357472255887e-04 4.651564742768876749e+04 4.651564780435650027e+04 4.651564774297362601e+04 4.651560509942937642e+04
1.109673612729996040e-04 4.337667679595393565e+04 4.337667718083470390e+04 4.337667711811341724e+04 4.337663735080448532e+04
1.135521231625472315e-04 4.044957726308410929e+04 4.044957765640683647e+04 4.044957759230981173e+04 4.044954050783075218e+04
1.161970918908356921e-04 3.772006829162098438e+04 3.772006869498919696e+04 3.772006862925513997e+04 3.772003404638917709e+04
1.189036698552949946e-04 3.517477760399883846e+04 3.517477801727685437e+04 3.517477794992786221e+04 3.517474569934144529e+04
1.216732921193877193e-04 3.280127734942366806e+04 3.280127777271489322e+04 3.280127770373408566e+04 3.280124762902664224e+04
1.245074271734985518e-04 3.058783462441580923e+04 3.058783505545378284e+04 3.058783498521054935e+04 3.058780693752656589e+04
1.274075777135474192e-04 2.852393515292213488e+04 2.852393559041391927e+04 2.852393551911897157e+04 2.852390936572620922e+04
1.303752814377386580e-04 2.659922966547260148e+04 2.659923011222534842e+04 2.659923003942119249e+04 2.659920564894629206e+04
1.334121118618690407e-04 2.480435595735566312e+04 2.480435641110563665e+04 2.480435633716121083e+04 2.480433359061743249e+04
1.365196791536266597e-04 2.313071547924196420e+04 2.313071594307146006e+04 2.313071586748442496e+04 2.313069465504325854e+04
1.396996309863231061e-04 2.156993914122331989e+04 2.156993961403122375e+04 2.156993953698105179e+04 2.156991975327227919e+04
1.429536534125117313e-04 2.011457043693157175e+04 2.011457092044133242e+04 2.011457084164714979e+04 2.011455239119427642e+04
1.462834717579549750e-04 1.875743707577410896e+04 1.875743757048299449e+04 1.875743748986376886e+04 1.875742028299899175e+04
1.496908515364149333e-04 1.749190820269351025e+04 1.749190870897819696e+04 1.749190862647254471e+04 1.749189257982473282e+04
1.531775993857521594e-04 1.631174823950117025e+04 1.631174875682937818e+04 1.631174867252403965e+04 1.631173370722499931e+04
1.567455640258289353e-04 1.521124320460184026e+04 1.521124373331218158e+04 1.521124364715198135e+04 1.521122969017623655e+04
1.603966372387250177e-04 1.418504333529259384e+04 1.418504387665515424e+04 1.418504378843311315e+04 1.418503077229711016e+04
1.641327548717855429e-04 1.322807758692239440e+04 1.322807814051526657e+04 1.322807805030013515e+04 1.322806591161354481e+04
1.679558978640329468e-04 1.233565281027822130e+04 1.233565337565772097e+04 1.233565328352180404e+04 1.233564196206448469e+04
1.718680932964869793e-04 1.150353676259080385e+04 1.150353734279438140e+04 1.150353724824269375e+04 1.150352669026736294e+04
1.758714154669500115e-04 1.072746972334095881e+04 1.072747031299507398e+04 1.072747021690329348e+04 1.072746036974470371e+04
1.799679869898269783e-04 1.000388440069280659e+04 1.000388500649421621e+04 1.000388490777102379e+04 1.000387572469028783e+04
1.841599799215638518e-04 9.329069003235774289e+03 9.329069622809189241e+03 9.329069521841673122e+03 9.329060957292143939e+03
1.884496169123006334e-04 8.699799787817155448e+03 8.699800421511568857e+03 8.699800318242849244e+03 8.699792330592570579e+03
1.928391723843499465e-04 8.112999815618390130e+03 8.113000463718020001e+03 8.113000358101780876e+03 8.112992908635291315e+03
1.973309737381256500e-04 7.565781310433112594e+03 7.565781972709216461e+03 7.565781864782741650e+03 7.565774916870197558e+03
2.019274025861614763e-04 7.055498824963619882e+03 7.055499502030657823e+03 7.055499391693803773e+03 7.055492911666199689e+03
2.066308960158736851e-04 6.579652381641741158e+03 6.579653073890062842e+03 6.579652961079224042e+03 6.579646917462608144e+03
2.114439478817367395e-04 6.135909780132640662e+03 6.135910486541549290e+03 6.135910371423060496e+03 6.135904734945354903e+03
2.163691101275581430e-04 5.722114035820640311e+03 5.722114758374162193e+03 5.722114640624698950e+03 5.722109383472215995e+03
2.214089941395530191e-04 5.336240794017005101e+03 5.336241533131753386e+03 5.336241412683423732e+03 5.336236509436487722e+03
2.265662721309351488e-04 4.976399220573753155e+03 4.976399975846727102e+03 4.976399852765199284e+03 4.976395279550156374e+03
2.318436785587602565e-04 4.640844030169495454e+03 4.640844802787466506e+03 4.640844676879348299e+03 4.640840411464032513e+03
2.372440115737710830e-04 4.327931718970469774e+03 4.327932508508184583e+03 4.327932379842773116e+03 4.327928401647396640e+03
2.427701345040140818e-04 4.036122333846377842e+03 4.036123140597452220e+03 4.036123009126902616e+03 4.036119298551481279e+03
2.484249773730137041e-04 3.764007027401306004e+03 3.764007852130270749e+03 3.764007717729988599e+03 3.764004256789382907e+03
2.542115384533098353e-04 3.510249346682443047e+03 3.510250189037906694e+03 3.510250051765157423e+03 3.510246823666909677e+03
2.601328858561814282e-04 3.273616710174121181e+03 3.273617571479179787e+03 3.273617431118347668e+03 3.273614420182813774e+03
2.661921591583997319e-04 3.052949080430553295e+03 3.052949961381184039e+03 3.052949817818850988e+03 3.052947009411873751e+03
2.723925710668736295e-04 2.847168354588459806e+03 2.847169255290229103e+03 2.847169108509191574e+03 2.847166488980641589e+03
2.787374091220691063e-04 2.655270635838188355e+03 2.655271556750937179e+03 2.655271406676257357e+03 2.655268963305624766e+03
2.852300374411068334e-04 2.476318980354472387e+03 2.476319921914188853e+03 2.476319768474815191e+03 2.476317489413635485e+03
2.918738985014617112e-04 2.309439876368858677e+03 2.309440839065020555e+03 2.309440682181189004e+03 2.309438556360669281e+03
2.986725149662098548e-04 2.153818193754664662e+03 2.153819178059879050e+03 2.153819017654569052e+03 2.153817034743893146e+03
3.056294915517912113e-04 2.008694827597118547e+03 2.008695834005958432e+03 2.008695669998574431e+03 2.008693820395614694e+03
3.127485169392779044e-04 1.873360715432579127e+03 1.873361744428919337e+03 1.873361576740608143e+03 1.873359851462337019e+03
3.200333657301618166e-04 1.747155266019725332e+03 1.747156318114130272e+03 1.747156146661687899e+03 1.747154537325382535e+03
3.274879004476982333e-04 1.629463450487532555e+03 1.629464526233521610e+03 1.629464350926744373e+03 1.629462849765107876e+03
3.351160735848668186e-04 1.519709812019470519e+03 1.519710911952247443e+03 1.519710732703915710e+03 1.519709332431478060e+03
3.429219297000357528e-04 1.417358623479531389e+03 1.417359748135443169e+03 1.417359564858154044e+03 1.417358258678360698e+03
3.509096075614400118e-04 1.321909891871028776e+03 1.321911041728307509e+03 1.321910854344125028e+03 1.321909635919714674e+03
3.590833423416110639e-04 1.232898756099602679e+03 1.232899931772263471e+03 1.232899740181125253e+03 1.232898603611160979e+03
3.674474678629216029e-04 1.149890716935053433e+03 1.149891919040149787e+03 1.149891723141498687e+03 1.149890662916641759e+03
3.760064188954352843e-04 1.072480896037599223e+03 1.072482125207372292e+03 1.072481924898176885e+03 1.072480935896330493e+03
3.847647335082807034e-04 1.000290959880219248e+03 1.000292216691154522e+03 1.000292011877467075e+03 1.000291089311283713e+03
3.937270554757954185e-04 9.329692634267001949e+02 9.329705485595476375e+02 9.329703391304311708e+02 9.329694785371769967e+02
4.028981367397171552e-04 8.701870011922817412e+02 8.701883152874820553e+02 8.701881011385670490e+02 8.701872983604683895e+02
4.122828399287256727e-04 8.116378903300457068e+02 8.116392340375743970e+02 8.116390150629389382e+02 8.116382662246601285e+02
4.218861409366728198e-04 7.570362231095479046e+02 7.570375971046906898e+02 7.570373731942860331e+02 7.570366746635081654e+02
4.317131315608677957e-04 7.061158415590342656e+02 7.061172465329666466e+02 7.061170175741565345e+02 7.061163659819778786e+02
4.417690222018153152e-04 6.586282442903773244e+02 6.586296809548973670e+02 6.586294468316837083e+02 6.586288390285606056e+02
4.520591446258384757e-04 6.143418674374889861e+02 6.143433365284475940e+02 6.143430971209127165e+02 6.143425301683122370e+02
4.625889547920524381e-04 5.730408525958813470e+02 5.730423548639031424e+02 5.730421100497204634e+02 5.730415812181245201e+02
4.733640357451858807e-04 5.345235898461244233e+02 5.345251260500607486e+02 5.345248757055650231e+02 5.345243824384315303e+02
4.843901005757850751e-04 4.986024434817514930e+02 4.986040144190853312e+02 4.986037584143140293e+02 4.986032983308983830e+02
4.956729954493704557e-04 4.651021478304797938e+02 4.651037542864035004e+02 4.651034924933973116e+02 4.651030633743022236e+02
5.072187027061508986e-04 4.338593614583874114e+02 4.338610042373090323e+02 4.338607365249763461e+02 4.338603362986950742e+02
5.190333440329394140e-04 4.047219583450210507e+02 4.047236382947759807e+02 4.047233645249485789e+02 4.047229912646454864e+02
5.311231837089526626e-04 3.775477997865224324e+02 3.775495177614411091e+02 3.775492377948915532e+02 3.775488896989928094e+02
5.434946319272148177e-04 3.522044154312530964e+02 3.522061723053916467e+02 3.522058859996777187e+02 3.522055613865488795e+02
5.561542481933266779e-04 3.285684209030023339e+02 3.285702175819307058e+02 3.285699247894739301e+02 3.285696220966426608e+02
5.691087448034024649e-04 3.065245051337587370e+02 3.065263425185929123e+02 3.065260430925407036e+02 3.065257608571868104e+02
5.823649904030177727e-04 2.859653897678757062e+02 2.859672688074135749e+02 2.859669625931420001e+02 2.859666994543255782e+02
5.959300136290566997e-04 2.667908921481725883e+02 2.667928138013600119e+02 2.667925006425907668e+02 2.667922553313499634e+02
6.098110068363880431e-04 2.489076172170385064e+02 2.489095824644427353e+02 2.489092622013735934e+02 2.489090335326270633e+02
6.240153299113469472e-04 2.322284914516474430e+02 2.322305012043253498e+02 2.322301736884810452e+02 2.322299605591410625e+02
6.385505141740441520e-04 2.166724340160700422e+02 2.166744894497670941e+02 2.166741544895366758e+02 2.166739558714975260e+02
