# Power spectra at z = 1000 [Mpc^3] from CAMB transfer functions.
# k[1/Mpc]  P_b  P_cdm  P_m
1.974528282880783081e-01 1.017069052977603860e-06 1.048684492707252502e-02 7.375612389296293259e-03
2.010543644428253174e-01 8.558829733829043107e-08 1.012443657964468002e-02 7.101524621248245239e-03
2.046558856964111328e-01 3.599710041157777596e-08 9.779414162039756775e-03 6.846643984317779541e-03
2.082574218511581421e-01 1.275332408567919629e-07 9.450661949813365936e-03 6.611959077417850494e-03
2.118589431047439575e-01 4.820853050091500336e-08 9.137168526649475098e-03 6.396059412509202957e-03
2.154604941606521606e-01 1.915066860647129943e-08 8.838024921715259552e-03 6.195743568241596222e-03
2.190620303153991699e-01 3.484389026198186912e-07 8.552414365112781525e-03 6.006987765431404114e-03
2.226635515689849854e-01 1.012168581837613601e-06 8.279582485556602478e-03 5.825933534651994705e-03
2.262650877237319946e-01 1.650627382332459092e-06 8.018834516406059265e-03 5.649674683809280396e-03
2.298666387796401978e-01 1.891585384328209329e-06 7.769512943923473358e-03 5.476684775203466415e-03
2.334681600332260132e-01 1.641888843550987076e-06 7.530993781983852386e-03 5.306826904416084290e-03
2.370696961879730225e-01 1.105576529880636372e-06 7.302678655833005905e-03 5.141024012118577957e-03
2.406712174415588379e-01 5.781346885669336189e-07 7.084010634571313858e-03 4.980750381946563721e-03
2.442727535963058472e-01 2.363549072015302954e-07 6.874464452266693115e-03 4.827465862035751343e-03
2.478743046522140503e-01 8.454987465711383265e-08 6.673541851341724396e-03 4.682173952460289001e-03
2.514758110046386719e-01 4.289238475507772819e-08 6.480782758444547653e-03 4.545187111943960190e-03
2.550773620605468750e-01 5.558019466889163596e-08 6.295761559158563614e-03 4.416109528392553329e-03
2.586789131164550781e-01 1.224306913627515314e-07 6.118078250437974930e-03 4.293985199183225632e-03
2.622804343700408936e-01 2.562195788868848467e-07 5.947357509285211563e-03 4.177559167146682739e-03
2.658819556236267090e-01 4.327669387294008629e-07 5.783257540315389633e-03 4.065589979290962219e-03
2.694834768772125244e-01 5.878720230612088926e-07 5.625455640256404877e-03 3.957072738558053970e-03
2.730850279331207275e-01 6.576227633559028618e-07 5.473637022078037262e-03 3.851385321468114853e-03
2.766865789890289307e-01 6.204810460985754617e-07 5.327516235411167145e-03 3.748324234038591385e-03
2.802881002426147461e-01 5.055361498307320289e-07 5.186818540096282959e-03 3.648028243333101273e-03
2.838896214962005615e-01 3.667183250399830285e-07 5.051283631473779678e-03 3.550837282091379166e-03
2.874911725521087646e-01 2.492033956968953134e-07 4.920671228319406509e-03 3.457134822383522987e-03
2.910926938056945801e-01 1.727594565181789221e-07 4.794751293957233429e-03 3.367207478731870651e-03
2.946942448616027832e-01 1.365892927651657374e-07 4.673311952501535416e-03 3.281163983047008514e-03
2.982957363128662109e-01 1.328178456105888472e-07 4.556149244308471680e-03 3.198893973603844643e-03
3.018972873687744141e-01 1.547945061020072899e-07 4.443072248250246048e-03 3.120112931355834007e-03
3.054988384246826172e-01 1.960336248885141686e-07 4.333904013037681580e-03 3.044424811378121376e-03
3.091003596782684326e-01 2.459526058373739943e-07 4.228469915688037872e-03 2.971401903778314590e-03
3.127018809318542480e-01 2.896962882914522197e-07 4.126607906073331833e-03 2.900669816881418228e-03
3.163034319877624512e-01 3.134019834760692902e-07 4.028166178613901138e-03 2.831959864124655724e-03
3.199049532413482666e-01 3.106472377112368122e-07 3.932991530746221542e-03 2.765120007097721100e-03
3.235065042972564697e-01 2.849038764907163568e-07 3.840946825221180916e-03 2.700118580833077431e-03
3.271080255508422852e-01 2.465515365202008979e-07 3.751896787434816360e-03 2.636999590322375298e-03
3.307095468044281006e-01 2.072172122780102654e-07 3.665717551484704018e-03 2.575839636847376823e-03
3.343110978603363037e-01 1.754063134740135865e-07 3.582289908081293106e-03 2.516706706956028938e-03
3.379126191139221191e-01 1.550994284116313793e-07 3.501499304547905922e-03 2.459620824083685875e-03
3.415141701698303223e-01 1.466644903302949388e-07 3.423239104449748993e-03 2.404544269666075706e-03
3.451156914234161377e-01 1.484403782114895876e-07 3.347409656271338463e-03 2.351383911445736885e-03
3.487172126770019531e-01 1.575115931018444826e-07 3.273915965110063553e-03 2.300006337463855743e-03
3.523187637329101562e-01 1.700052081332614762e-07 3.202664665877819061e-03 2.250256482511758804e-03
3.559203147888183594e-01 1.816749488625646336e-07 3.133571473881602287e-03 2.201991388574242592e-03
3.595218360424041748e-01 1.887679417222898337e-07 3.066550008952617645e-03 2.155088353902101517e-03
3.631233572959899902e-01 1.891719705326977419e-07 3.001522039994597435e-03 2.109465189278125763e-03
3.667248785495758057e-01 1.829496198979541077e-07 2.938413061201572418e-03 2.065073465928435326e-03
3.703264296054840088e-01 1.720234905633333256e-07 2.877147169783711433e-03 2.021892229095101357e-03
3.739279806613922119e-01 1.591904776887531625e-07 2.817657543346285820e-03 1.979920314624905586e-03
3.775295019149780273e-01 1.471152302201517159e-07 2.759876428171992302e-03 1.939155976288020611e-03
3.811310231685638428e-01 1.376544815911984188e-07 2.703740727156400681e-03 1.899591414257884026e-03
3.847325444221496582e-01 1.316629578695938108e-07 2.649190835654735565e-03 1.861203811131417751e-03
3.883340954780578613e-01 1.290773781192910974e-07 2.596169244498014450e-03 1.823954400606453419e-03
3.919356465339660645e-01 1.291769393674258026e-07 2.544621238484978676e-03 1.787790097296237946e-03
3.955371677875518799e-01 1.308373640540594351e-07 2.494494430720806122e-03 1.752652577124536037e-03
3.991386890411376953e-01 1.327713050613965606e-07 2.445739926770329475e-03 1.718480954878032207e-03
4.027402102947235107e-01 1.338386397264912375e-07 2.398308599367737770e-03 1.685220864601433277e-03
4.063417613506317139e-01 1.333205830178485485e-07 2.352154813706874847e-03 1.652827369980514050e-03
4.099433124065399170e-01 1.310042136992706219e-07 2.307235496118664742e-03 1.621267525479197502e-03
4.135448336601257324e-01 1.271666150159944664e-07 2.263508038595318794e-03 1.590515719726681709e-03
4.171463847160339355e-01 1.224370862473733723e-07 2.220930298790335655e-03 1.560554606840014458e-03
4.207478761672973633e-01 1.175438484324331512e-07 2.179465256631374359e-03 1.531370915472507477e-03
4.382790625095367432e-01 1.046252080527665385e-07 1.992347184568643570e-03 1.399841974489390850e-03
4.488104581832885742e-01 1.025770188789465465e-07 1.890604849904775620e-03 1.328418380580842495e-03
4.640229642391204834e-01 9.434113223960594041e-08 1.756053301505744457e-03 1.233859220519661903e-03
4.797510504722595215e-01 8.584414246115557034e-08 1.630617189221084118e-03 1.145690912380814552e-03
4.960123002529144287e-01 8.075325297340896213e-08 1.513721654191613197e-03 1.063578645698726177e-03
5.128246545791625977e-01 7.445937910688371630e-08 1.404821523465216160e-03 9.870534995570778847e-04
5.302069187164306641e-01 6.872726743267776328e-08 1.303399680182337761e-03 9.157860768027603626e-04
5.481783747673034668e-01 6.356567183729566750e-08 1.208970090374350548e-03 8.494351059198379517e-04
5.667588710784912109e-01 5.878990450014498492e-08 1.121081528253853321e-03 7.876808522269129753e-04
5.859692692756652832e-01 5.445433970407975721e-08 1.039309659972786903e-03 7.302262820303440094e-04
6.058307290077209473e-01 5.032183381104005093e-08 9.632562869228422642e-04 6.767879240214824677e-04
6.263654828071594238e-01 4.668778785799077014e-08 8.925487054511904716e-04 6.271096062846481800e-04
6.475961804389953613e-01 4.323142022144565999e-08 8.268320234492421150e-04 5.809363792650401592e-04
6.695465445518493652e-01 3.999301156909496058e-08 7.657702662982046604e-04 5.380332004278898239e-04
6.922408938407897949e-01 3.698550798958422092e-08 7.090465514920651913e-04 4.981780657544732094e-04
7.157044410705566406e-01 3.414149318814452272e-08 6.563658826053142548e-04 4.611626500263810158e-04
7.399632930755615234e-01 3.153105865294492105e-08 6.074546836316585541e-04 4.267963522579520941e-04
7.650445103645324707e-01 2.913150254357788072e-08 5.620596930384635925e-04 3.949011734221130610e-04
7.909757494926452637e-01 2.692620526545397297e-08 5.199434817768633366e-04 3.653099120128899813e-04
8.177859783172607422e-01 2.489640671399229177e-08 4.808802914340049028e-04 3.378642431925982237e-04
8.455049395561218262e-01 2.300194879012451565e-08 4.446564125828444958e-04 3.124131180811673403e-04
8.741633892059326172e-01 2.124523490465435316e-08 4.110708832740783691e-04 2.888158487621694803e-04
9.037932157516479492e-01 1.962496654073220270e-08 3.799394471570849419e-04 2.669428067747503519e-04
9.344274401664733887e-01 1.813512184867249744e-08 3.510921669658273458e-04 2.466749283485114574e-04
9.660999178886413574e-01 1.675005556478481594e-08 3.243703104089945555e-04 2.279002364957705140e-04
9.988459944725036621e-01 1.545236472111355397e-08 2.996230032294988632e-04 2.105126040987670422e-04
1.032702088356018066e+00 1.424334428179463430e-08 2.767084224615246058e-04 1.944124960573390126e-04
1.067705631256103516e+00 1.313919817391706601e-08 2.554954262450337410e-04 1.795081916498020291e-04
1.103895664215087891e+00 1.213610278938404008e-08 2.358636702410876751e-04 1.657152897678315639e-04
1.141312241554260254e+00 1.120919090880079239e-08 2.176999987568706274e-04 1.529538276372477412e-04
1.179997205734252930e+00 1.033913399339780881e-08 2.008973388001322746e-04 1.411483681295067072e-04
1.219993233680725098e+00 9.529815159226018295e-09 1.853564463090151548e-04 1.302293239859864116e-04
1.261345148086547852e+00 8.786614102973544504e-09 1.709866046439856291e-04 1.201331542688421905e-04
1.304098606109619141e+00 8.099443782327853114e-09 1.577033981448039412e-04 1.108004580601118505e-04
1.348301172256469727e+00 7.461778750439407304e-09 1.454266603104770184e-04 1.021748175844550133e-04
1.394001960754394531e+00 6.878208669292007471e-09 1.340821036137640476e-04 9.420426067663356662e-05
1.441251873970031738e+00 6.344937464319855280e-09 1.236015523318201303e-04 8.684084605192765594e-05
1.490103244781494141e+00 5.848632689264832152e-09 1.139210944529622793e-04 8.003948460100218654e-05
1.540610432624816895e+00 5.386731061207683524e-09 1.049809943651780486e-04 7.375824498012661934e-05
1.592829585075378418e+00 4.961050681373535554e-09 9.672659507486969233e-05 6.795876106480136514e-05
1.646818637847900391e+00 4.567032085844857647e-09 8.910710312193259597e-05 6.260535155888646841e-05
1.702637791633605957e+00 4.204310233291153054e-09 8.207480277633294463e-05 5.766453614342026412e-05
1.760349035263061523e+00 3.873250165042918525e-09 7.558573997812345624e-05 5.310542837833054364e-05
1.820016145706176758e+00 3.567498518819434139e-09 6.959892925806343555e-05 4.889920819550752640e-05
1.881705880165100098e+00 3.284448490958880029e-09 6.407641194527968764e-05 4.501916191657073796e-05
1.945486426353454590e+00 3.022470274061106466e-09 5.898317249375395477e-05 4.144071499467827380e-05
2.011428833007812500e+00 2.779756425042023693e-09 5.428680378827266395e-05 3.814106457866728306e-05
2.079606533050537109e+00 2.557365652577914261e-09 4.995713243260979652e-05 3.509909947752021253e-05
2.150094985961914062e+00 2.353370609498028898e-09 4.596622966346330941e-05 3.229515641578473151e-05
2.222972631454467773e+00 2.165886581195763938e-09 4.228808029438368976e-05 2.971096182591281831e-05
2.298320770263671875e+00 1.992380704862739549e-09 3.889875370077788830e-05 2.732967732299584895e-05
2.376222610473632812e+00 1.831634732774034546e-09 3.577608367777429521e-05 2.513572144380304962e-05
2.456764936447143555e+00 1.683534867069624852e-09 3.289966844022274017e-05 2.311478056071791798e-05
2.540037155151367188e+00 1.547886152586386288e-09 3.025050500582437962e-05 2.125351602444425225e-05
2.626132011413574219e+00 1.423527518085165866e-09 2.781096554826945066e-05 1.953954051714390516e-05
2.715145111083984375e+00 1.308856689696824560e-09 2.556477011239621788e-05 1.796140713850036263e-05
2.807175159454345703e+00 1.202653310272694398e-09 2.349693022551946342e-05 1.650857302593067288e-05
2.902324676513671875e+00 1.104724201006490603e-09 2.159362884412985295e-05 1.517133023298811167e-05
3.000699520111083984e+00 1.015038497698128594e-09 1.984204209293238819e-05 1.394069113302975893e-05
3.102408409118652344e+00 9.328949834852551248e-10 1.823026468628086150e-05 1.280829474126221612e-05
3.207565069198608398e+00 8.571721110683938605e-10 1.674733903200831264e-05 1.176641490019392222e-05
3.316285610198974609e+00 7.871034934936460559e-10 1.538316246296744794e-05 1.080796027963515371e-05
3.428691387176513672e+00 7.226441112173631609e-10 1.412844721926376224e-05 9.926414350047707558e-06
3.544907331466674805e+00 6.637006499943254312e-10 1.297456947213504463e-05 9.115718967223074287e-06
3.665062427520751953e+00 6.096331772731389265e-10 1.191352657770039514e-05 8.370254363398998976e-06
3.789290189743041992e+00 5.596746954772413574e-10 1.093798346119001508e-05 7.684848242206498981e-06
3.917728424072265625e+00 5.135889491469924906e-10 1.004119076242204756e-05 7.054775323922513053e-06
4.050520420074462891e+00 4.714132972871709626e-10 9.216919352184049785e-06 6.475652753579197451e-06
4.187813282012939453e+00 4.328120639662813574e-10 8.459371201752219349e-06 5.943416454101679847e-06
4.329759597778320312e+00 3.972078777003673622e-10 7.763223038637079298e-06 5.454314759845146909e-06
4.476517677307128906e+00 3.643549073562013518e-10 7.123602699721232057e-06 5.004925242246827111e-06
4.628249645233154297e+00 3.342865706468245435e-10 6.535999546031234786e-06 4.592084678733954206e-06
4.785124301910400391e+00 3.067736342732274579e-10 5.996231720928335562e-06 4.212854946672450751e-06
4.947316646575927734e+00 2.814048438715133216e-10 5.500461156771052629e-06 3.864533937303349376e-06
5.115006923675537109e+00 2.580334279578266887e-10 5.045168563810875639e-06 3.544651917763985693e-06
5.288380622863769531e+00 2.366701001843551921e-10 4.627104772225720808e-06 3.250927875342313200e-06
5.467630863189697266e+00 2.170939678025618491e-10 4.243252988089807332e-06 2.981240641020121984e-06
5.652956962585449219e+00 1.990287934461321129e-10 3.890856532962061465e-06 2.733651399466907606e-06
5.844564437866210938e+00 1.824495693414363018e-10 3.567383373592747375e-06 2.506384362277458422e-06
6.042666912078857422e+00 1.673072930197250230e-10 3.270491788498475216e-06 2.297794253536267206e-06
6.247483253479003906e+00 1.533733695602279568e-10 2.998016270794323646e-06 2.106357214870513417e-06
6.459242343902587891e+00 1.405468241788554451e-10 2.747986854956252500e-06 1.930690132212475874e-06
6.678179264068603516e+00 1.288302936552909728e-10 2.518579321986180730e-06 1.769512437022058293e-06
6.904536724090576172e+00 1.180831821212535715e-10 2.308106331838644110e-06 1.621637920834473334e-06
7.138567447662353516e+00 1.081803605029740822e-10 2.115031520588672720e-06 1.485986331317690201e-06
7.380529403686523438e+00 9.912826115510142699e-11 1.937937668117228895e-06 1.361563136015320197e-06
7.630693435668945312e+00 9.083606783422126796e-11 1.775512146195978858e-06 1.247445879926090129e-06
7.889336585998535156e+00 8.319757383024040109e-11 1.626557491363200825e-06 1.142792257269320544e-06
8.156746864318847656e+00 7.621613756780831750e-11 1.489972873969236389e-06 1.046830334416881669e-06
8.433219909667968750e+00 6.982079497896975795e-11 1.364738977827073541e-06 9.588433158569387160e-07
